date,open,high,low,close,volume
2016-06-27,19.707500457763672,19.719999313354492,18.832500457763672,19.0674991607666,13004000
2016-06-28,19.655000686645508,20.13249969482422,19.540000915527344,20.059999465942383,13388400
2016-06-29,20.625,21.232500076293945,20.59000015258789,21.15250015258789,11790400
2016-06-30,21.3075008392334,22.040000915527344,21.122499465942383,21.989999771118164,8538400
2016-07-01,21.985000610351562,22.334999084472656,21.975000381469727,22.114999771118164,5926800
2016-07-05,21.850000381469727,21.88249969482422,21.450000762939453,21.6924991607666,5652400
2016-07-06,21.487499237060547,22.107500076293945,21.2549991607666,22.05500030517578,8422000
2016-07-07,22.15250015258789,22.375,21.74250030517578,22.0,4572400
2016-07-08,22.5,23.087499618530273,22.40999984741211,23.00749969482422,5956400
2016-07-11,23.19499969482422,23.454999923706055,23.102500915527344,23.247499465942383,7207200
2016-07-12,23.625,23.860000610351562,23.524999618530273,23.735000610351562,3888000
2016-07-13,23.90250015258789,23.924999237060547,23.5575008392334,23.7450008392334,3981200
2016-07-14,24.2450008392334,24.315000534057617,23.987499237060547,24.125,3817600
2016-07-15,24.3700008392334,24.3700008392334,23.857500076293945,24.022499084472656,3570800
2016-07-18,24.075000762939453,24.287500381469727,23.985000610351562,24.229999542236328,3135600
2016-07-19,24.052499771118164,24.162500381469727,23.96500015258789,24.13249969482422,5678000
2016-07-20,24.327499389648438,24.542499542236328,24.165000915527344,24.452499389648438,2963600
2016-07-21,24.397499084472656,24.487499237060547,23.99250030517578,24.157499313354492,2946000
2016-07-22,24.252500534057617,24.512500762939453,24.114999771118164,24.482500076293945,2502800
2016-07-25,24.405000686645508,24.422500610351562,24.06999969482422,24.290000915527344,4178000
2016-07-26,24.25,24.457500457763672,23.99250030517578,24.3075008392334,3252000
2016-07-27,24.469999313354492,24.5,23.9375,24.239999771118164,4436400
2016-07-28,24.190000534057617,24.4424991607666,23.982500076293945,24.31999969482422,3035200
2016-07-29,24.229999542236328,24.582500457763672,24.112499237060547,24.452499389648438,3334800
2016-08-01,24.479999542236328,24.614999771118164,24.19499969482422,24.352500915527344,3550400
2016-08-02,24.264999389648438,24.334999084472656,23.577499389648438,23.899999618530273,4800800
2016-08-03,23.8700008392334,24.1299991607666,23.767499923706055,24.110000610351562,4232400
2016-08-04,24.15999984741211,24.3075008392334,23.9950008392334,24.18000030517578,3210800
2016-08-05,24.457500457763672,24.790000915527344,24.407499313354492,24.782499313354492,3714000
2016-08-08,24.857500076293945,24.892499923706055,24.6299991607666,24.737499237060547,1892000
2016-08-09,24.762500762939453,24.969999313354492,24.655000686645508,24.774999618530273,2493600
2016-08-10,24.829999923706055,24.850000381469727,24.450000762939453,24.59749984741211,2476000
2016-08-11,24.815000534057617,25.030000686645508,24.69499969482422,24.940000534057617,3703600
2016-08-12,24.809999465942383,24.94499969482422,24.707500457763672,24.860000610351562,3075200
2016-08-15,25.002500534057617,25.21500015258789,25.002500534057617,25.102500915527344,1999600
2016-08-16,24.907499313354492,24.934999465942383,24.6924991607666,24.702499389648438,2612400
2016-08-17,24.700000762939453,24.8799991607666,24.364999771118164,24.815000534057617,5244800
2016-08-18,24.802499771118164,25.0,24.764999389648438,25.0,1747600
2016-08-19,24.799999237060547,24.9424991607666,24.607500076293945,24.875,2480800
2016-08-22,24.780000686645508,24.954999923706055,24.627500534057617,24.864999771118164,3160800
2016-08-23,25.112499237060547,25.227500915527344,24.99250030517578,24.997499465942383,2220000
2016-08-24,24.96500015258789,24.997499465942383,24.462499618530273,24.655000686645508,2969200
2016-08-25,24.477500915527344,24.739999771118164,24.420000076293945,24.565000534057617,2613600
2016-08-26,24.637500762939453,25.042499542236328,24.082500457763672,24.427499771118164,7179200
2016-08-29,24.49250030517578,24.892499923706055,24.475000381469727,24.78499984741211,2393600
2016-08-30,24.75749969482422,24.862499237060547,24.450000762939453,24.657499313354492,4769200
2016-08-31,24.545000076293945,24.579999923706055,24.149999618530273,24.452499389648438,4132800
2016-09-01,24.452499389648438,24.575000762939453,24.0,24.459999084472656,4662400
2016-09-02,24.770000457763672,24.952499389648438,24.5625,24.77750015258789,4949600
2016-09-06,24.905000686645508,25.024999618530273,24.607500076293945,25.012500762939453,4488400
2016-09-07,24.940000534057617,25.0674991607666,24.7549991607666,25.00749969482422,3725600
2016-09-08,24.864999771118164,24.969999313354492,24.702499389648438,24.822500228881836,3178400
2016-09-09,24.302499771118164,24.309999465942383,23.022499084472656,23.024999618530273,8130800
2016-09-12,22.7549991607666,24.174999237060547,22.709999084472656,24.030000686645508,8086800
2016-09-13,23.532499313354492,23.6200008392334,22.747499465942383,22.985000610351562,9060400
2016-09-14,23.0,23.454999923706055,22.737499237060547,22.9424991607666,5171600
2016-09-15,22.889999389648438,23.78499984741211,22.832500457763672,23.637500762939453,5882000
2016-09-16,23.399999618530273,23.46500015258789,23.09749984741211,23.34749984741211,4321600
2016-09-19,23.6200008392334,23.854999542236328,23.25,23.36750030517578,6420800
2016-09-20,23.697500228881836,23.7549991607666,23.364999771118164,23.377500534057617,3504800
2016-09-21,23.639999389648438,24.227500915527344,23.38249969482422,24.145000457763672,6676400
2016-09-22,24.5625,24.729999542236328,24.459999084472656,24.600000381469727,4320800
2016-09-23,24.454999923706055,24.502500534057617,24.172500610351562,24.197500228881836,3593200
2016-09-26,23.889999389648438,23.94499969482422,23.542499542236328,23.625,6629200
2016-09-27,23.5575008392334,24.087499618530273,23.412500381469727,24.05500030517578,3959200
2016-09-28,24.147499084472656,24.462499618530273,23.762500762939453,24.415000915527344,4882800
2016-09-29,24.329999923706055,24.477500915527344,23.545000076293945,23.727500915527344,8038800
2016-09-30,24.049999237060547,24.537500381469727,23.962499618530273,24.295000076293945,5385600
2016-10-03,24.104999542236328,24.172500610351562,23.84749984741211,24.065000534057617,3846000
2016-10-04,24.135000228881836,24.22249984741211,23.489999771118164,23.747499465942383,5207600
2016-10-05,23.96500015258789,24.204999923706055,23.9375,24.022499084472656,3939200
2016-10-06,23.94499969482422,24.162500381469727,23.732500076293945,24.09000015258789,2600800
2016-10-07,24.1825008392334,24.252500534057617,23.549999237060547,23.842500686645508,5418400
2016-10-10,24.190000534057617,24.3799991607666,24.137500762939453,24.1875,4122400
2016-10-11,24.037500381469727,24.049999237060547,23.0,23.30500030517578,8120000
2016-10-12,23.332500457763672,23.56999969482422,23.15250015258789,23.385000228881836,5792800
2016-10-13,22.8700008392334,23.332500457763672,22.55500030517578,23.155000686645508,5972000
